continuation_state,id,normalized_document_family_id,notes,observed_designation,observed_designation_with_edition,observed_edition,observed_title,promulgating_agency,record_type,referenced_ibc_sections,review_state,row_geometry,source_anchor,title_sha256
starts_on_page,ibc2018:chapter35-row:65616851bd5223a19df9a07e,ibc2018:external-family:3b10b17ecd4dbcad77819820,[],ADM1,ADM1—2015,2015,Aluminum Design Manual: Part 1—A Specification for Aluminum Structures,AA,chapter35_referenced_standard_entry,"[""1604.3.5"",""2002.1""]",provisional,"[60.05,296.417,415.958,307.547]","{""appendix"":null,""bbox"":[60.05,296.417,415.958,307.547],""chapter"":""35"",""line_id"":""poppler-line:806c2c53670bb1fd876b"",""observed_text_sha256"":""cc91a99e61af0341313fc651ff2e3258209503d8a5218fec5d38931b6e0474ba"",""pdf_page"":640,""printed_page"":""613""}",eed43e948572f9122efbe3df6026e269d5515795b618e99bca09f7e4eacea61c
starts_on_page,ibc2018:chapter35-row:42fdde06017da51ced092339,ibc2018:external-family:fbc826115d89ee2f492f9612,[],ASM 35,ASM 35—00,00,Aluminum Sheet Metal Work in Building Construction (Fourth Edition),AA,chapter35_referenced_standard_entry,"[""2002.1""]",provisional,"[60.05,322.217,391.669,333.347]","{""appendix"":null,""bbox"":[60.05,322.217,391.669,333.347],""chapter"":""35"",""line_id"":""poppler-line:35a8a32f2ddcff8f6e93"",""observed_text_sha256"":""ee8b3534cf16779ddfa80711596b4e90547763253972ae52bc523889f913d792"",""pdf_page"":640,""printed_page"":""613""}",44092fd121af879b2ef5cbd396662a893ffbf963bd7185603d69e5f1e0c2672e
starts_on_page,ibc2018:chapter35-row:565ed8d0ddfe3b9693b34e8d,ibc2018:external-family:c25aa47346cd91ed1b306d61,[],711,711—16,16,Voluntary Specification for Self Adhering Flashing Used for Installation of Exterior Wall Fenestration Products,AAMA,chapter35_referenced_standard_entry,"[""1404.4""]",provisional,"[60.0,402.467,525.788,413.597]","{""appendix"":null,""bbox"":[60.0,402.467,525.788,413.597],""chapter"":""35"",""line_id"":""poppler-line:06c25c0abe7c77a41cd4"",""observed_text_sha256"":""13eeb505b52ea30afc62de8cb6cdb3c8d940a504682fdc9bde21847bc5664480"",""pdf_page"":640,""printed_page"":""613""}",9aec3561e1c51f08cb363ef76b1c4c6939d1d4f4c4d5bb992b5ec1882f577a09
starts_on_page,ibc2018:chapter35-row:820ab19430dde1d6334f0483,ibc2018:external-family:bf621c53de78937f3616da56,[],714,714—15,15,Voluntary Specification for Liquid Applied Flashing Used to Create a Water-resistive Seal around Exterior Wall Openings,AAMA,chapter35_referenced_standard_entry,"[""1404.4""]",provisional,"[60.0,428.267,571.843,439.397]","{""appendix"":null,""bbox"":[60.0,428.267,571.843,439.397],""chapter"":""35"",""line_id"":""poppler-line:25fbfdc0c2f3077d1f85"",""observed_text_sha256"":""5d3d6b1212c84f11fefed6ddc97a2d6cbb48eb00dade3eae8e6134f34a3bafaa"",""pdf_page"":640,""printed_page"":""613""}",3ec026c1a8a838c5e3ca3f863d574a0f4e39e838dee816d925de5d03ddc4ec98
starts_on_page,ibc2018:chapter35-row:d732bbbba8996516f0540e0f,ibc2018:external-family:e16484e6a2a4b4c9229cd617,[],1402,1402—09,09,"Standard Specifications for Aluminum Siding, Soffit and Fascia",AAMA,chapter35_referenced_standard_entry,"[""1403.5.1""]",provisional,"[60.0,465.117,345.238,476.247]","{""appendix"":null,""bbox"":[60.0,465.117,345.238,476.247],""chapter"":""35"",""line_id"":""poppler-line:ee814f922164c3603d6a"",""observed_text_sha256"":""38198889d17d7fab4b60ad2176ef4439644c32b3f089dbdb4422d1d9bc311cfd"",""pdf_page"":640,""printed_page"":""613""}",714fa412ca8cd3636a2b6bc43cdd90b6a7c0d92e41fca55499b1fce8352306a1
starts_on_page,ibc2018:chapter35-row:db2fb98597f57a97d59731d8,ibc2018:external-family:a6391e6db69848384c110e3a,[],AAMA/WDMA/CSA 101/I.S.2/A440,AAMA/WDMA/CSA 101/I.S.2/A440—17,17,"North American Fenestration Standard/Specifications for Windows, Doors and Skylights",AAMA,chapter35_referenced_standard_entry,"[""1709.5.1"",""2405.5""]",provisional,"[60.0,490.917,563.889,502.047]","{""appendix"":null,""bbox"":[60.0,490.917,563.889,502.047],""chapter"":""35"",""line_id"":""poppler-line:6196f8bb6554da0478a5"",""observed_text_sha256"":""f6c46f7142929e1906fbe61fbb8d8bef71ecfb0a547f1d060ca02c55b20fe381"",""pdf_page"":640,""printed_page"":""613""}",4c2c1f7d061cd5ce255604d446d84b5d8ddc9ac5afb8a232fafff25180e067d0
starts_on_page,ibc2018:chapter35-row:4f8c6d1e2ebb97eefe984fbc,ibc2018:external-family:a05a22a7b980b5a6c5888236,[],216.1,216.1—14,14,Code Requirements for Determining Fire Resistance of Concrete and Masonry Construction Assemblies,ACI,chapter35_referenced_standard_entry,"[""721.1(2)"",""722.1""]",provisional,"[60.05,571.317,502.412,582.447]","{""appendix"":null,""bbox"":[60.05,571.317,502.412,582.447],""chapter"":""35"",""line_id"":""poppler-line:9e68144c900e4fc59e00"",""observed_text_sha256"":""7716bcb07b71c90cf1c36f5848d8eb6bdceaa156a8b9962d3794b5a26feb3b14"",""pdf_page"":640,""printed_page"":""613""}",9fa2c5dc5a22ffaa19388517289d50027fd442cb5600330b445b15c8ff660a74
starts_on_page,ibc2018:chapter35-row:42f96b42ec4fd78f96c0b06a,ibc2018:external-family:edf096f30e7fb5aab29ce2c8,[],318,318—14,14,Building Code Requirements for Structural Concrete,ACI,chapter35_referenced_standard_entry,"[""1604.3.2"",""1616.2.1"",""1616.3.1"",""1704.5"",""1705.3"",""1705.3.2"",""1808.8.2"",""1808.8.5"",""1808.8.6"",""1810.1.3"",""1810.2.4.1"",""1810.3.10.1"",""1810.3.11.1"",""1810.3.12"",""1810.3.2.1.1"",""1810.3.2.1.2"",""1810.3.8.3.1"",""1810.3.8.3.3"",""1810.3.9.4.2.1"",""1810.3.9.4.2.2"",""1901.2"",""1901.3"",""1902.1"",""1903.1"",""1904.1"",""1904.2"",""1905.1"",""1905.1.1"",""1905.1.2"",""1905.1.3"",""1905.1.4"",""1905.1.5"",""1905.1.6"",""1905.1.7"",""1905.1.8"",""1906.1"",""2108.3"",""2206.1"",""722.2.4.3""]",provisional,"[60.05,597.117,301.165,608.247]","{""appendix"":null,""bbox"":[60.05,597.117,301.165,608.247],""chapter"":""35"",""line_id"":""poppler-line:26f31d7faf1194184ec2"",""observed_text_sha256"":""f3d238f46f933d82e230506483aed40ed88e58172e859d891cf69f18f69415b3"",""pdf_page"":640,""printed_page"":""613""}",76561b63bf80b3617b4691b08b8a5ec997a7b993dab35545236fefe792ec0512
starts_on_page,ibc2018:chapter35-row:ddbb32828d045e8bdddfdb07,ibc2018:external-family:45e81e56a56a4aeb16d3f59d,[],ANSI/AISC 341,ANSI/AISC 341—16,16,Seismic Provisions for Structural Steel Buildings,AISC,chapter35_referenced_standard_entry,"[""1705.12.1.1"",""1705.12.1.2"",""1705.13.1.1"",""1705.13.1.2"",""2205.2.1.1"",""2205.2.1.2"",""2205.2.2"",""2206.2.1""]",provisional,"[60.0,721.467,330.692,732.597]","{""appendix"":null,""bbox"":[60.0,721.467,330.692,732.597],""chapter"":""35"",""line_id"":""poppler-line:1ae00516390950d0890c"",""observed_text_sha256"":""ee9dce1d335824cd8a53249ac7b0075b4c5273aa43193c7dd89cf0712964db4e"",""pdf_page"":640,""printed_page"":""613""}",89cce2dde37b1df966bf9b2e57dd47835b8f03b4055c88bbd1ae0d37a5a4ff09
starts_on_page,ibc2018:chapter35-row:df751daf38bfb7fdd5270d9d,ibc2018:external-family:2966f3dad5220411743c5bef,[],ANSI/AISC 360,ANSI/AISC 360—16,16,Specification for Structural Steel Buildings,AISC,chapter35_referenced_standard_entry,"[""1604.3.3"",""1705.2.1"",""2202.1"",""2203.1"",""2205.1"",""2205.2.1.1"",""2206.1"",""722.5.2.2.1""]",provisional,"[40.1,87.117,289.042,98.247]","{""appendix"":null,""bbox"":[40.1,87.117,289.042,98.247],""chapter"":""35"",""line_id"":""poppler-line:f5444504424e2b1cf56d"",""observed_text_sha256"":""081cc3b77a6fb15313bd233185728f721c2347d88e19a282570b5fdda3de40c9"",""pdf_page"":641,""printed_page"":""614""}",c194101546689b875ccc7189a4488ad9271202c8c1d557507217731b5cad5e55
