conflicts_or_alternate_definitions,definition_text_sha256,external_references,id,internal_references,normalized_term,observed_term,record_type,review_state,scope,source_anchor,source_section
[],0055da0e1d2e89cca854448428e5535fdef0be6de5582ec47e8f2d2dc2c0d229,[],ibc2018:definition:48bd3ff42fac4de3a6266b7f,[],24-HOUR BASIS,24-HOUR BASIS,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.027,516.585,305.959,569.575],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""0055da0e1d2e89cca854448428e5535fdef0be6de5582ec47e8f2d2dc2c0d229"",""pdf_page"":40,""printed_page"":""13""}",202
[],87fbb2767fdc5baef85848ed98a1c71ef7b8f4a5d70224130a54862304dfd7ad,[],ibc2018:definition:39a1d5c18cedc3eb97fa62a3,[],AAC MASONRY,AAC MASONRY,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.027,575.324,306.018,617.437],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""87fbb2767fdc5baef85848ed98a1c71ef7b8f4a5d70224130a54862304dfd7ad"",""pdf_page"":40,""printed_page"":""13""}",202
[],f1f2605c76bddc5f7297a590d805fd0ee71c655e2a4bc2a945687604b837b73b,[],ibc2018:definition:12ab8e7453425d1f65adc6c6,[],ACCESSIBLE,ACCESSIBLE,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.027,623.187,305.874,643.223],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""f1f2605c76bddc5f7297a590d805fd0ee71c655e2a4bc2a945687604b837b73b"",""pdf_page"":40,""printed_page"":""13""}",202
[],728bb61fa5fe49eaedcc8fd423214fc0cee6ce24cf041472a6841d718ef1499e,[],ibc2018:definition:182c6a0210b923ec920fd815,[],ACCESSIBLE MEANS OF EGRESS,ACCESSIBLE MEANS OF EGRESS,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.027,649.052,305.904,680.075],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""728bb61fa5fe49eaedcc8fd423214fc0cee6ce24cf041472a6841d718ef1499e"",""pdf_page"":40,""printed_page"":""13""}",202
[],6bd1e1c72a65f5a30a5ba8260dad43ee47bdfa64eccb85047f4cb1d417909008,[],ibc2018:definition:4b9990209a188042b39a80d2,[],ACCESSIBLE ROUTE,ACCESSIBLE ROUTE,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.027,685.848,306.01,705.86],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""6bd1e1c72a65f5a30a5ba8260dad43ee47bdfa64eccb85047f4cb1d417909008"",""pdf_page"":40,""printed_page"":""13""}",202
[],5b4954dbdc20cab404de048a04a16c003130491ee417a85e21c89ccc832c625c,[],ibc2018:definition:d27f5961dada8e7b60218783,[],ACCESSIBLE UNIT,ACCESSIBLE UNIT,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.027,711.609,306.258,742.656],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""5b4954dbdc20cab404de048a04a16c003130491ee417a85e21c89ccc832c625c"",""pdf_page"":40,""printed_page"":""13""}",202
[],286a56892a899b9169f49643d4f656b5935ac1956405b8f0221328123b29bbd2,[],ibc2018:definition:693a41a2cb56a510d4b602a2,[],ACCREDITATION BODY,ACCREDITATION BODY,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.012,244.488,572.064,308.624],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""286a56892a899b9169f49643d4f656b5935ac1956405b8f0221328123b29bbd2"",""pdf_page"":40,""printed_page"":""13""}",202
[],0671701ddf77ba2dcef97e73c0b83a29981a7a8252584e69925cd35e9519b4a8,[],ibc2018:definition:976452fb9c86c11eaec8267c,[],ADDITION,ADDITION,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.013,313.955,571.484,334.078],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""0671701ddf77ba2dcef97e73c0b83a29981a7a8252584e69925cd35e9519b4a8"",""pdf_page"":40,""printed_page"":""13""}",202
[],917379bb24897483cac669f052f1e7c16e9cbaea38ea6028e5d85bc1f62eaf02,[],ibc2018:definition:47d0ef4f3639db749eab11d9,[],ADHERED MASONRY VENEER,ADHERED MASONRY VENEER,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.012,339.439,572.09,370.542],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""917379bb24897483cac669f052f1e7c16e9cbaea38ea6028e5d85bc1f62eaf02"",""pdf_page"":40,""printed_page"":""13""}",202
[],02eb4c24cda8f8625a31d59809a1917c75d8e1271aa4ee79bd91c136502fd0a8,[],ibc2018:definition:f4d3fb7290449e6a77ac1963,[],ADOBE CONSTRUCTION,ADOBE CONSTRUCTION,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.012,375.873,572.274,429.084],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""02eb4c24cda8f8625a31d59809a1917c75d8e1271aa4ee79bd91c136502fd0a8"",""pdf_page"":40,""printed_page"":""13""}",202
