applicability_conditions,exception_number,external_references,extraction_confidence,id,internal_references,marker_anchor,nested_exception_anchors,nested_exception_numbers,nested_structure,parent_locator,record_type,related_figures,related_tables,review_state,source_anchor
uninterpreted,,[],0.9,ibc2018:exception:518233bb368e7beafd08d435,[],"{""appendix"":null,""bbox"":[72.031,469.902,117.389,487.625],""chapter"":""1"",""line_id"":""poppler-line:86b3980273ec9555d1a8"",""observed_text_sha256"":""ee327964a14f18f5837411b8ac926b5e106730d381dd5102c07154fe33e9e46f"",""pdf_page"":28,""printed_page"":""1""}",[],[],single,101.2,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[72.031,469.902,117.389,487.625],""chapter"":""1"",""line_id"":""poppler-line:86b3980273ec9555d1a8"",""observed_text_sha256"":""ee327964a14f18f5837411b8ac926b5e106730d381dd5102c07154fe33e9e46f"",""pdf_page"":28,""printed_page"":""1""}"
uninterpreted,,[],0.9,ibc2018:exception:4de7438e17f2f07ba8130128,[],"{""appendix"":null,""bbox"":[52.106,485.791,285.781,503.462],""chapter"":""1"",""line_id"":""poppler-line:e972674097ee040e2302"",""observed_text_sha256"":""9c08d87fb3558e5787b7b077f5375bc19e8836578e88e53cc208e98c1b3cb7bd"",""pdf_page"":33,""printed_page"":""6""}",[],[],single,107.1,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[52.106,485.791,285.781,503.462],""chapter"":""1"",""line_id"":""poppler-line:e972674097ee040e2302"",""observed_text_sha256"":""9c08d87fb3558e5787b7b077f5375bc19e8836578e88e53cc208e98c1b3cb7bd"",""pdf_page"":33,""printed_page"":""6""}"
uninterpreted,,[],0.9,ibc2018:exception:4bdaf2fc5ec0113f0dd337f8,[],"{""appendix"":null,""bbox"":[329.938,444.471,551.863,462.141],""chapter"":""1"",""line_id"":""poppler-line:d5cdbbd6c21820aa87d2"",""observed_text_sha256"":""b631c18f8df0e19f4dd4cbb5c8dafa8f4e1bf10f7e3dac4f06f8713185569eda"",""pdf_page"":35,""printed_page"":""8""}",[],[],single,110.3.5,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[329.938,444.471,551.863,462.141],""chapter"":""1"",""line_id"":""poppler-line:d5cdbbd6c21820aa87d2"",""observed_text_sha256"":""b631c18f8df0e19f4dd4cbb5c8dafa8f4e1bf10f7e3dac4f06f8713185569eda"",""pdf_page"":35,""printed_page"":""8""}"
uninterpreted,,[],0.9,ibc2018:exception:937d995bc878f9cce2ed2203,[],"{""appendix"":null,""bbox"":[329.937,561.943,551.754,579.613],""chapter"":""1"",""line_id"":""poppler-line:3fb4ec87cec726813f16"",""observed_text_sha256"":""7dc810d4a783f7a79f962feb6b8a3c0d60c80ee52adfd0bc936c19a8566fae62"",""pdf_page"":35,""printed_page"":""8""}",[],[],single,110.3.6,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[329.937,561.943,551.754,579.613],""chapter"":""1"",""line_id"":""poppler-line:3fb4ec87cec726813f16"",""observed_text_sha256"":""7dc810d4a783f7a79f962feb6b8a3c0d60c80ee52adfd0bc936c19a8566fae62"",""pdf_page"":35,""printed_page"":""8""}"
uninterpreted,,[],0.9,ibc2018:exception:38a811e1783aa50cf99487a9,[],"{""appendix"":null,""bbox"":[71.951,614.01,305.957,631.681],""chapter"":""1"",""line_id"":""poppler-line:003cb50a71cbe4d55840"",""observed_text_sha256"":""7e489d349861aa66de794598403e4a5b187283d5ba820ca53c2d1fdbee399b30"",""pdf_page"":36,""printed_page"":""9""}",[],[],single,111.1,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[71.951,614.01,305.957,631.681],""chapter"":""1"",""line_id"":""poppler-line:003cb50a71cbe4d55840"",""observed_text_sha256"":""7e489d349861aa66de794598403e4a5b187283d5ba820ca53c2d1fdbee399b30"",""pdf_page"":36,""printed_page"":""9""}"
uninterpreted,,[],0.9,ibc2018:exception:7934c11e937426759bfdc5fe,[],"{""appendix"":null,""bbox"":[72.034,427.152,121.278,444.822],""chapter"":""4"",""line_id"":""poppler-line:17ec24e047d7b0b7b56f"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":82,""printed_page"":""55""}","[{""appendix"":null,""bbox"":[83.931,445.708,305.982,458.052],""chapter"":""4"",""line_id"":""poppler-line:ced27c253c0c5bc7198b"",""observed_text_sha256"":""0c8f9ede4b858d8ad6f6375e44e262aa6c21969825092113277871f69e7637f5"",""pdf_page"":82,""printed_page"":""55""},{""appendix"":null,""bbox"":[83.931,471.382,306.506,483.726],""chapter"":""4"",""line_id"":""poppler-line:1088a6cf400020d81ca7"",""observed_text_sha256"":""3fb6205690d040f9cd3d1b32e1413f66a5386f81ba31aa768eb52a4e8b95ded7"",""pdf_page"":82,""printed_page"":""55""}]","[""1"",""2""]",numbered,402.1,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[72.034,427.152,121.278,444.822],""chapter"":""4"",""line_id"":""poppler-line:17ec24e047d7b0b7b56f"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":82,""printed_page"":""55""}"
uninterpreted,,[],0.9,ibc2018:exception:26a4df00331dc34ab0268e33,[],"{""appendix"":null,""bbox"":[72.035,698.283,305.428,715.954],""chapter"":""4"",""line_id"":""poppler-line:1c2b74451c4b28fb9339"",""observed_text_sha256"":""b9d43f8d91bc7c139f5802b9c914555d002a83015af9f83d297bfb0e5aa35417"",""pdf_page"":82,""printed_page"":""55""}",[],[],single,402.2,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[72.035,698.283,305.428,715.954],""chapter"":""4"",""line_id"":""poppler-line:1c2b74451c4b28fb9339"",""observed_text_sha256"":""b9d43f8d91bc7c139f5802b9c914555d002a83015af9f83d297bfb0e5aa35417"",""pdf_page"":82,""printed_page"":""55""}"
uninterpreted,,[],0.9,ibc2018:exception:94593db4ee97619c9ae12192,[],"{""appendix"":null,""bbox"":[362.033,698.338,571.608,716.009],""chapter"":""4"",""line_id"":""poppler-line:93f907f75c1e3f062f93"",""observed_text_sha256"":""27e058a2cb14f21c6129a6606c5bcca864edfa27a1399d15431937b741b400be"",""pdf_page"":82,""printed_page"":""55""}",[],[],single,402.4.1.2,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[362.033,698.338,571.608,716.009],""chapter"":""4"",""line_id"":""poppler-line:93f907f75c1e3f062f93"",""observed_text_sha256"":""27e058a2cb14f21c6129a6606c5bcca864edfa27a1399d15431937b741b400be"",""pdf_page"":82,""printed_page"":""55""}"
uninterpreted,,[],0.9,ibc2018:exception:ca9cb74a7bf03a668391ceb4,[],"{""appendix"":null,""bbox"":[76.051,299.183,125.351,316.906],""chapter"":""4"",""line_id"":""poppler-line:7575713a23e7521e925d"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":83,""printed_page"":""56""}","[{""appendix"":null,""bbox"":[88.003,318.109,285.593,330.453],""chapter"":""4"",""line_id"":""poppler-line:5913aca2df6f033be731"",""observed_text_sha256"":""74fc2a85cf51790c9fa916e7ce76f49f68cd3bf601f34d92068d6446f9829ca2"",""pdf_page"":83,""printed_page"":""56""},{""appendix"":null,""bbox"":[88.003,388.05,285.571,400.394],""chapter"":""4"",""line_id"":""poppler-line:c8f8ab6642c6ae69293c"",""observed_text_sha256"":""6e60fdda525f488bb788fcbba84291204b96a87b837b7dc4c845818d1aebe79d"",""pdf_page"":83,""printed_page"":""56""}]","[""1"",""2""]",numbered,402.4.2.2,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[76.051,299.183,125.351,316.906],""chapter"":""4"",""line_id"":""poppler-line:7575713a23e7521e925d"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":83,""printed_page"":""56""}"
uninterpreted,,[],0.9,ibc2018:exception:da8ca927bafde44afa70bc23,[],"{""appendix"":null,""bbox"":[341.984,410.015,552.084,427.738],""chapter"":""4"",""line_id"":""poppler-line:17e9dd67dd553dc43540"",""observed_text_sha256"":""7ea1ba8472d8490ffbc7222623a95c7bcb4f6e081044da9ebe6b8b0938d3ec51"",""pdf_page"":83,""printed_page"":""56""}",[],[],single,402.5,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[341.984,410.015,552.084,427.738],""chapter"":""4"",""line_id"":""poppler-line:17e9dd67dd553dc43540"",""observed_text_sha256"":""7ea1ba8472d8490ffbc7222623a95c7bcb4f6e081044da9ebe6b8b0938d3ec51"",""pdf_page"":83,""printed_page"":""56""}"
