citation_context_sha256,citation_purpose,id,issuing_organization,normalization_confidence,normalization_reason,normalized_document_family_id,normative_or_informational_context,observed_designation,observed_edition,record_type,review_state,source_anchor,source_section
2a4ed9caebf6d70ab180f3f112aefd1403643fae2ade62f57bcf7247401a9dcc,installation standard,ibc2018:citation:2c5cdda1aa0c485bc9037f08,NFPA,0.9,preserved_existing_family_match,ibc2018:external-family:18262f949a55900295275157,unreviewed,70,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[326.043,609.991,469.758,622.335],""chapter"":""1"",""line_id"":""poppler-line:7a3f2d739e9ef1c66216"",""observed_text_sha256"":""2a4ed9caebf6d70ab180f3f112aefd1403643fae2ade62f57bcf7247401a9dcc"",""pdf_page"":34,""printed_page"":""7""}",108.3
071b9e43a7d8fbddadb4a2038771f4b732873b0e29e15b42699bb60f4698230d,material specification,ibc2018:citation:4921ae9f396c08ef905bcb37,ASTM,0.85,same_agency_unique_alias,ibc2018:external-family:72c7cd6ad4c8c18c81326090,unreviewed,C94,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[317.932,141.376,551.622,153.72],""chapter"":""1"",""line_id"":""poppler-line:590eca19e50c0873899a"",""observed_text_sha256"":""071b9e43a7d8fbddadb4a2038771f4b732873b0e29e15b42699bb60f4698230d"",""pdf_page"":35,""printed_page"":""8""}",110.3.1
d297a90457b80d5f5ece2c01b9f0dc00ba8a7f9a9bd4f008a08ee326537cda74,accessibility standard,ibc2018:citation:742619cdabee531c7b1ce11c,ICC,0.85,same_agency_unique_alias,ibc2018:external-family:39dc1cb2fb52452f400658cb,unreviewed,A117.1,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[60.027,731.457,143.041,743.801],""chapter"":""2"",""line_id"":""poppler-line:94922feba9787e61531c"",""observed_text_sha256"":""d297a90457b80d5f5ece2c01b9f0dc00ba8a7f9a9bd4f008a08ee326537cda74"",""pdf_page"":40,""printed_page"":""13""}",201.4
b4c7e1942573e5b0fd276b05a971290f92682a681ddd4f39d31a664ff67685f2,material specification,ibc2018:citation:f70edb9cdc344056c6a9e027,ASTM,0.9,preserved_existing_family_match,ibc2018:external-family:b62e1f58659aed8a38eba6a4,unreviewed,E283,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[40.104,177.897,132.837,190.241],""chapter"":""2"",""line_id"":""poppler-line:09d1ab62c3d708a6decb"",""observed_text_sha256"":""b4c7e1942573e5b0fd276b05a971290f92682a681ddd4f39d31a664ff67685f2"",""pdf_page"":41,""printed_page"":""14""}",201.4
8107ed6f4bc85a15323f68dd97a02ff417614ce8a623c2a1096462a1d3ebfb18,installation standard,ibc2018:citation:7238077c87453fade397b09d,NFPA,0.9,preserved_existing_family_match,ibc2018:external-family:9238fee9a70b2c70ad415838,unreviewed,750,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[60.005,470.496,305.768,482.84],""chapter"":""2"",""line_id"":""poppler-line:7189aefd30163d4cb548"",""observed_text_sha256"":""8107ed6f4bc85a15323f68dd97a02ff417614ce8a623c2a1096462a1d3ebfb18"",""pdf_page"":42,""printed_page"":""15""}",1.22
0878f9e01fcd5e63f517dd2d5348e9efb4b0b53a770acc2f551aa67bc633a001,material specification,ibc2018:citation:696f3f68784e6367ac0b8fef,ASTM,0.9,preserved_existing_family_match,ibc2018:external-family:f9505209b3179192ca879585,unreviewed,D86,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[40.05,118.744,285.91,131.088],""chapter"":""2"",""line_id"":""poppler-line:26f915ae7391aa616c7e"",""observed_text_sha256"":""0878f9e01fcd5e63f517dd2d5348e9efb4b0b53a770acc2f551aa67bc633a001"",""pdf_page"":43,""printed_page"":""16""}",1.22
70ebb44d8f24701cf2b9dababebb6a2bf7d018420c6d257e07efcf9ecb635091,related code,ibc2018:citation:376b0ec13cdacd96711342b2,CFR,0.45,no_unique_family_alias,,unreviewed,P,,external_citation_occurrence,disputed,"{""appendix"":null,""bbox"":[306.032,639.372,552.054,651.716],""chapter"":""2"",""line_id"":""poppler-line:d7c892dcc5842d9fd30b"",""observed_text_sha256"":""70ebb44d8f24701cf2b9dababebb6a2bf7d018420c6d257e07efcf9ecb635091"",""pdf_page"":43,""printed_page"":""16""}",35.4
e88c9d722342d66af06c88338bcc43ef6bafd82b49a79d5701ca298a9f1e2138,related code,ibc2018:citation:a75b623fab4f1503db1e7e5a,CFR,0.45,no_unique_family_alias,,unreviewed,P,,external_citation_occurrence,disputed,"{""appendix"":null,""bbox"":[59.951,86.596,305.974,98.94],""chapter"":""2"",""line_id"":""poppler-line:8f19b010f2e506812085"",""observed_text_sha256"":""e88c9d722342d66af06c88338bcc43ef6bafd82b49a79d5701ca298a9f1e2138"",""pdf_page"":44,""printed_page"":""17""}",1.22
5797798bef4a07f276778769cbda824b4c422e341e0f6ccb188919e81c21a98d,material specification,ibc2018:citation:533a90ab4bb17846c774f328,ASTM,0.85,same_agency_unique_alias,ibc2018:external-family:78f036369ce489b60b0f29cf,unreviewed,C330,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[318.02,428.333,551.742,440.677],""chapter"":""2"",""line_id"":""poppler-line:979de129c8092dbefb56"",""observed_text_sha256"":""5797798bef4a07f276778769cbda824b4c422e341e0f6ccb188919e81c21a98d"",""pdf_page"":45,""printed_page"":""18""}",35.4
bdc854cd6361a217e42542a95ba96e922974913efdfc9faad1fc4559282d88b2,material specification,ibc2018:citation:fd6bd3d026cf584c6c843503,ASTM,0.85,same_agency_unique_alias,ibc2018:external-family:78f036369ce489b60b0f29cf,unreviewed,C330,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[318.044,540.419,551.841,552.763],""chapter"":""2"",""line_id"":""poppler-line:6cc2be4735668a89e657"",""observed_text_sha256"":""bdc854cd6361a217e42542a95ba96e922974913efdfc9faad1fc4559282d88b2"",""pdf_page"":45,""printed_page"":""18""}",35.4
e86ec031d48e91eb62137beac8f479fbf180cc6251193c198c81f767ae2adf20,structural design standard,ibc2018:citation:1511f26086a204d2b8c54388,ASCE,0.85,agency_alias_unique,ibc2018:external-family:20aefdd457978d6c5ccf1ff5,unreviewed,7,,external_citation_occurrence,provisional,"{""appendix"":null,""bbox"":[305.98,554.049,551.71,566.393],""chapter"":""2"",""line_id"":""poppler-line:0a5ef2cfc51e57fd77f7"",""observed_text_sha256"":""e86ec031d48e91eb62137beac8f479fbf180cc6251193c198c81f767ae2adf20"",""pdf_page"":47,""printed_page"":""20""}",35.4
