chapter35_entry_ids,citation_purpose,document_family,id,issuing_organization,normalization_confidence,observed_designations,observed_editions,observed_titles,record_type,review_state
"[""ibc2018:chapter35-row:3a244ba339a448c6e60b4818""]",unknown,APA S475,ibc2018:external-family:00d275056ff1a6e17b99e50b,APA,0.95,"[""APA S475—16""]","[""16""]","[""Glued Laminated Beam Design Tables""]",external_document_family,provisional
"[""ibc2018:chapter35-row:15ab4e18c2fb996d4685677e""]",product qualification,924,ibc2018:external-family:01742ae7169708c0c4239be7,UL,0.95,"[""924—06""]","[""06""]","[""Safety Emergency Lighting and Power Equipment—with Revisions through April 2014""]",external_document_family,provisional
"[""ibc2018:chapter35-row:623ffaee4b5ad26769260535""]",material specification,A615/A615M,ibc2018:external-family:01abe2f812e4c5808c6ccdda,ASTM,0.95,"[""A615/A615M—15ae1""]","[""15ae1""]","[""Specification for Deformed and Plain Carbon-steel Bars for Concrete Reinforcement""]",external_document_family,provisional
"[""ibc2018:chapter35-row:e924e3eb08d784a5bba988fc""]",related code,"18 USC Part 1, Ch.40",ibc2018:external-family:01eb8194eb09effc540cb213,USC,0.95,"[""18 USC Part 1, Ch.40""]",[],"[""Importation, Manufacture, Distribution and Storage of Explosive Materials""]",external_document_family,provisional
"[""ibc2018:chapter35-row:1179c27ed3051f8309e82c3c""]",material specification,D7158/D7158M,ibc2018:external-family:022950be283094a0657b0275,ASTM,0.95,"[""D7158/D7158M—16""]","[""16""]","[""Standard Test Method for Wind Resistance of Asphalt Shingles (Uplift Force/Uplift Resistance Method)""]",external_document_family,provisional
"[""ibc2018:chapter35-row:21331c58140a7bc8125ca605""]",installation standard,120,ibc2018:external-family:026ff0d028d406792af53018,NFPA,0.95,"[""120—15""]","[""15""]","[""Standard for Fire Prevention and Control in Coal Mines""]",external_document_family,provisional
"[""ibc2018:chapter35-row:933c7a8f2508e56fd523db4e""]",structural design standard,AISI S240,ibc2018:external-family:029a1c9d28bb6288b98eda51,AISI,0.95,"[""AISI S240—15""]","[""15""]","[""North American Standard for Cold-Formed Steel Structuring Framing, 2015""]",external_document_family,provisional
"[""ibc2018:chapter35-row:62643db57aae322f56676eda""]",structural design standard,216,ibc2018:external-family:0397d9431dd22a741b2c0679,TMS,0.95,"[""216—2013""]","[""2013""]","[""Standard Method for Determining Fire Resistance of Concrete and Masonry Construction Assemblies""]",external_document_family,provisional
"[""ibc2018:chapter35-row:7fbb0348593d59352e021eed""]",material specification,C557,ibc2018:external-family:03bdceb34086cb2cee72193e,ASTM,0.95,"[""C557—03(2009)e01""]","[""03(2009)e01""]","[""Specification for Adhesives for Fastening Gypsum Wallboard to Wood Framing""]",external_document_family,provisional
"[""ibc2018:chapter35-row:4562c55f392400faaec5aea8""]",material specification,D6162/D6162M,ibc2018:external-family:04884db05df377a56587a09d,ASTM,0.95,"[""D6162/D6162M—00a(2015)e1""]","[""00a(2015)e1""]","[""Specification for Styrene-butadiene-styrene (SBS) Modified Bituminous Sheet Materials Using a""]",external_document_family,provisional
"[""ibc2018:chapter35-row:de1ca100f7c843f3f6973d52""]",material specification,C956,ibc2018:external-family:04bcba309f9a09c6c0bfbd52,ASTM,0.95,"[""C956—04(2015)""]","[""04(2015)""]","[""Specification for Installation of Cast-in-place Reinforced Gypsum Concrete""]",external_document_family,provisional
"[""ibc2018:chapter35-row:1b77b876c9798944f92eefb9""]",installation standard,58,ibc2018:external-family:05cc4feaf2eca4ee22bc5114,NFPA,0.95,"[""58—17""]","[""17""]","[""Liquefied Petroleum Gas Code""]",external_document_family,provisional
"[""ibc2018:chapter35-row:b2913955f1062e76d6bbda22""]",material specification,C933,ibc2018:external-family:05dbf21dfd8bce4b4317f0c5,ASTM,0.95,"[""C933—14""]","[""14""]","[""Specification for Welded Wire Lath""]",external_document_family,provisional
"[""ibc2018:chapter35-row:272c4d38ab53a2a70714058c""]",material specification,A588/A588M,ibc2018:external-family:06553fe01328145bb7854bd9,ASTM,0.95,"[""A588/A588M—15""]","[""15""]","[""Specification for High-strength Low-alloy Structural Steel with 50 ksi (345 MPa) Minimum Yield Point with""]",external_document_family,provisional
"[""ibc2018:chapter35-row:85195df53bed9a954aa67547""]",performance classification,16 CFR Part 1201 (2002),ibc2018:external-family:065abc44aa90fa31adb53379,CPSC,0.95,"[""16 CFR Part 1201 (2002)""]",[],"[""Safety Standard for Architectural Glazing Material""]",external_document_family,provisional
"[""ibc2018:chapter35-row:195682b8682fad20b9b7ae3f""]",unknown,A 156.38,ibc2018:external-family:06ff219019436f495975470f,BHMA,0.95,"[""A 156.38—2014""]","[""2014""]","[""Low Energy Power Operated Sliding and Folding Doors""]",external_document_family,provisional
"[""ibc2018:chapter35-row:da61671741501a26b3cfdaad""]",material specification,D7254,ibc2018:external-family:07523de58336f728ac6e9a17,ASTM,0.95,"[""D7254—15""]","[""15""]","[""Standard Specification for Polypropylene (PP) Siding""]",external_document_family,provisional
"[""ibc2018:chapter35-row:7badd62a9b8e234b86708711""]",product qualification,103,ibc2018:external-family:07565e9aabe32a68dc1f1660,UL,0.95,"[""103—2010""]","[""2010""]","[""Factory-built Chimneys, for Residential Type and Building Heating Appliances—with Revisions through July 2012""]",external_document_family,provisional
"[""ibc2018:chapter35-row:607ed9cc9b821b421a08dc09""]",unknown,GA 216,ibc2018:external-family:0768322d1930ea82dbf67441,GA,0.95,"[""GA 216—2016""]","[""2016""]","[""Application and Finishing of Gypsum Panel Products""]",external_document_family,provisional
"[""ibc2018:chapter35-row:10a146b911b281675e351bc8""]",material specification,D2843,ibc2018:external-family:07f6c5363af40ae3d697dc54,ASTM,0.95,"[""D2843—16""]","[""16""]","[""Standard Test Method for Density of Smoke from the Burning or Decomposition of Plastics""]",external_document_family,provisional
