accessibility_description_status,anchors,appendix,caption,caption_sha256,chapter,committee_designation,continuation_pages,dimensions,external_references,extraction_confidence,id,interpretation_confidence,labels,nearby_exceptions,notes,orientation,pdf_page_range,printed_page_range,published_identifier,raw_evidence_links,record_type,referenced_sections,related_tables,review_state,section_context,semantic_category,subfigure_structure
missing,"[{""appendix"":null,""bbox"":[270.69,418.396,323.078,433.853],""chapter"":""7"",""line_id"":""poppler-line:5ed554a9f4e8ad7cff90"",""observed_text_sha256"":""5db09f8f2066323d1d3ebd39d9d632e7d77b7dc26b5fe8e40790402cc70e73bc"",""pdf_page"":155,""printed_page"":""128""}]",,EQUIVALENT OPENING FACTOR,c12e4b079f3fb07b3533168d4aca6d2fd2c16ff4d55729ca22f2f3bc0170e3d2,7,,[],[],[],0.99,ibc2018:figure:a2c29032fec38df11776dac5,0.72,[],"[""ibc2018:exception:37e0a1b9892fa1204b449efa"",""ibc2018:exception:c2b81248fa031f9844b71d63""]","[{""appendix"":null,""bbox"":[41.35,407.527,134.236,417.343],""chapter"":""7"",""line_id"":""poppler-line:4242962aa21bf609292e"",""observed_text_sha256"":""d7e8bfdaffde52dab31d94497f38d1c071460378cdad9393e41dc78003cd89e4"",""pdf_page"":155,""printed_page"":""128""}]",portrait,"[155,155]","[""128"",""128""]",705.7,"[""poppler-line:5ed554a9f4e8ad7cff90""]",figure,[],[],provisional,705.8.1,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[394.057,716.696,465.142,732.153],""chapter"":""7"",""line_id"":""poppler-line:bc419bcab024243f3938"",""observed_text_sha256"":""12ad0ad1636861ee4dec060f0c6ba1cc9d6cf5eb72dab37dde7abedad8f90ea3"",""pdf_page"":209,""printed_page"":""182""}]",,CERAMIC FIBER JOINT PROTECTION 2018 INTERNATIONAL BUILDING CODE®,9dd513ef604d0b3c091b97c826afa9ef44586941c71b225d537086246af4c799,7,,[],[],[],0.99,ibc2018:figure:a5bf405968be0f50e29f8f25,0.72,[],[],"[{""appendix"":null,""bbox"":[307.05,705.827,390.503,715.643],""chapter"":""7"",""line_id"":""poppler-line:a184bc77dd112c7b66d4"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":209,""printed_page"":""182""}]",portrait,"[209,209]","[""182"",""182""]",722.2.1.3.1,"[""poppler-line:bc419bcab024243f3938""]",figure,[],[],provisional,722.2.1.3.1,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[281.383,308.096,346.773,323.553],""chapter"":""7"",""line_id"":""poppler-line:f4ad33c1dd5da0b25e22"",""observed_text_sha256"":""1fd76efed0cd8cdab1d554bab299405b249d397a8564140958d2cb9dd8c260a5"",""pdf_page"":210,""printed_page"":""183""}]",,FIRE-RESISTANCE RATINGS OF TWO-WYTHE CONCRETE WALLS,a1b78e5370b91f59c97462abcfea80d1dc72d548bb7f378ca7a93f7b052d25da,7,,[],[],[],0.99,ibc2018:figure:d446d817cbf66faab6d8eedb,0.72,[],[],"[{""appendix"":null,""bbox"":[59.85,297.227,143.304,307.043],""chapter"":""7"",""line_id"":""poppler-line:9e434e03d9ed033d69cf"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":210,""printed_page"":""183""}]",portrait,"[210,210]","[""183"",""183""]",722.2.1.2,"[""poppler-line:f4ad33c1dd5da0b25e22""]",figure,[],[],provisional,5704.3.6.3(8),fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[146.008,569.946,218.017,585.403],""chapter"":""7"",""line_id"":""poppler-line:d94ef418771ca380aca7"",""observed_text_sha256"":""764d855931563fd812982f9612a7c4b673636599679dc0f20e66535b6bf1bb32"",""pdf_page"":212,""printed_page"":""185""}]",,DETERMINATION OF SLAB THICKNESS FOR SLOPING SOFFITS,1fba12d726e451f2f34abd38e14a40039ecb60c80341ea7511f698f522d436e8,7,,[],[],[],0.99,ibc2018:figure:70413afd997b4db305155a63,0.72,[],[],"[{""appendix"":null,""bbox"":[59.85,559.077,143.303,568.893],""chapter"":""7"",""line_id"":""poppler-line:dccf24adafb2c49f652e"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":212,""printed_page"":""185""},{""appendix"":null,""bbox"":[328.75,696.977,412.203,706.793],""chapter"":""7"",""line_id"":""poppler-line:fcb8d3db01c315e9d459"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":212,""printed_page"":""185""}]",portrait,"[212,212]","[""185"",""185""]",722.2.2.1.2,"[""poppler-line:d94ef418771ca380aca7""]",figure,[],[],provisional,722.2.2.1.2,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[412.146,356.346,484.308,371.803],""chapter"":""7"",""line_id"":""poppler-line:4e390696ca9587ea8c9b"",""observed_text_sha256"":""23740fdc3c4f1bdadc9d44a3a2fe0b39f6c98e3cafae63152c49703cd037aaa4"",""pdf_page"":212,""printed_page"":""185""}]",,SLABS WITH RIBBED OR UNDULATING SOFFITS,8abf6208159c312cf0cfe05185edcbdb483153a300cbd81a23d7a04a8a814a03,7,,[],[],[],0.99,ibc2018:figure:e6f95b25b14da50fed1d759e,0.72,[],"[""ibc2018:exception:2ee4381779babdda8722d204""]","[{""appendix"":null,""bbox"":[60.048,319.095,143.388,328.91],""chapter"":""7"",""line_id"":""poppler-line:27e34e115d96791d6f22"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":212,""printed_page"":""185""},{""appendix"":null,""bbox"":[326.95,345.477,410.346,355.293],""chapter"":""7"",""line_id"":""poppler-line:bd75cf1a14d802c6635e"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":212,""printed_page"":""185""}]",portrait,"[212,212]","[""185"",""185""]",722.2.2.1.3,"[""poppler-line:4e390696ca9587ea8c9b""]",figure,[],[],provisional,722.2.1.4.5,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[415.983,707.846,481.627,723.303],""chapter"":""7"",""line_id"":""poppler-line:002599e18525c81d6aa5"",""observed_text_sha256"":""318160a1c1bb2a82e47f7b961816108a6b6fc5b6394e63d0deac5ea8cd1c449e"",""pdf_page"":212,""printed_page"":""185""}]",,FIRE-RESISTANCE RATINGS FOR TWO-COURSE CONCRETE FLOORS 185,fd6cc92fa7a012af39aa81b8a5a5508a24b38f530f78d5b7b1aafbcaaa16ca51,7,,[],[],[],0.99,ibc2018:figure:48278fb36383269fa5197539,0.72,[],[],"[{""appendix"":null,""bbox"":[328.75,696.977,412.203,706.793],""chapter"":""7"",""line_id"":""poppler-line:fcb8d3db01c315e9d459"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":212,""printed_page"":""185""}]",portrait,"[212,212]","[""185"",""185""]",722.2.2.2,"[""poppler-line:002599e18525c81d6aa5""]",figure,[],[],provisional,722.2.2.2,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[125.858,631.184,201.204,646.641],""chapter"":""7"",""line_id"":""poppler-line:ae21b184dab8de52270d"",""observed_text_sha256"":""6b77ffbc67f206e2793da54116201dcf9462ab98876b48b95cb2f5f465972c1c"",""pdf_page"":213,""printed_page"":""186""}]",,FIRE-RESISTANCE RATINGS FOR CONCRETE ROOF ASSEMBLIES,b6f96dfb0206079ca68197cc6f6a357963eba7b502aea1feede2fbaa3b817169,7,,[],[],[],0.99,ibc2018:figure:2d9d8e38e6ad6e19a0e68440,0.72,[],[],"[{""appendix"":null,""bbox"":[41.85,609.227,125.134,619.043],""chapter"":""7"",""line_id"":""poppler-line:4d930eaf9ff85230e232"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":213,""printed_page"":""186""},{""appendix"":null,""bbox"":[305.585,609.736,388.925,619.552],""chapter"":""7"",""line_id"":""poppler-line:1ac89229af0eb989dfba"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":213,""printed_page"":""186""}]",portrait,"[213,213]","[""186"",""186""]",722.2.2.3(1),"[""poppler-line:ae21b184dab8de52270d""]",figure,[],[],provisional,722.2.2.4,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[390.555,628.525,465.915,643.982],""chapter"":""7"",""line_id"":""poppler-line:cccab6a0df0990540c4a"",""observed_text_sha256"":""74d286978fea3f79f1f9c3e0337f4c2961ac624c0f701b717580fb55190d7228"",""pdf_page"":213,""printed_page"":""186""}]",,FIRE-RESISTANCE RATINGS FOR CONCRETE ROOF ASSEMBLIES,b6f96dfb0206079ca68197cc6f6a357963eba7b502aea1feede2fbaa3b817169,7,,[],[],[],0.99,ibc2018:figure:07a1723e9b656fdbed3f0ba9,0.72,[],[],"[{""appendix"":null,""bbox"":[41.85,609.227,125.134,619.043],""chapter"":""7"",""line_id"":""poppler-line:4d930eaf9ff85230e232"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":213,""printed_page"":""186""},{""appendix"":null,""bbox"":[305.585,609.736,388.925,619.552],""chapter"":""7"",""line_id"":""poppler-line:1ac89229af0eb989dfba"",""observed_text_sha256"":""7186aa4dff1aeb49904af05eb5380ccfe55d2641cb02846f379cf22de98d1385"",""pdf_page"":213,""printed_page"":""186""}]",portrait,"[213,213]","[""186"",""186""]",722.2.2.3(2),"[""poppler-line:cccab6a0df0990540c4a""]",figure,[],[],provisional,722.2.3.1,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[149.0,455.955,217.613,471.411],""chapter"":""7"",""line_id"":""poppler-line:ba9c5c228d782fb7d804"",""observed_text_sha256"":""04158268b08f4deb47f4feda8b0c015ac40ce100677f87865e4d8429e81a0d8d"",""pdf_page"":220,""printed_page"":""193""}]",,DETERMINATION OF THE HEATED PERIMETER OF STRUCTURAL STEEL COLUMNS,a80db1db2b1f614796c1ae580428419704474329fa73de78187248fbe3acdb15,7,,[],[],[],0.99,ibc2018:figure:c3b28a6c407f06d0df3a6918,0.72,[],[],"[{""appendix"":null,""bbox"":[324.533,437.417,465.632,447.232],""chapter"":""7"",""line_id"":""poppler-line:3b353818346a2bcf21f1"",""observed_text_sha256"":""938eab6b7a072f3f111c2aeb3e49390e42f013b164e3e44ba50bf599c9055065"",""pdf_page"":220,""printed_page"":""193""}]",portrait,"[220,220]","[""193"",""193""]",722.5.1(1),"[""poppler-line:ba9c5c228d782fb7d804""]",figure,[],[],provisional,722.5.1.1,fire-resistance assembly,unreviewed
missing,"[{""appendix"":null,""bbox"":[413.35,403.255,481.986,418.711],""chapter"":""7"",""line_id"":""poppler-line:ea300064514012187839"",""observed_text_sha256"":""c17ded09c62c00cbd653d69cbedb68fe5d88a030e36405e9de6cfa28775f8480"",""pdf_page"":220,""printed_page"":""193""}]",,GYPSUM-PROTECTED STRUCTURAL STEEL COLUMNS WITH SHEET STEEL COLUMN COVERS,d15ead02832a44b81d480ebf8cba25fa04c807b73df1a124a959877e8e72e7b8,7,,[],[],[],0.99,ibc2018:figure:99debf8d5d55eb90379d44ac,0.72,[],[],"[{""appendix"":null,""bbox"":[324.533,437.417,465.632,447.232],""chapter"":""7"",""line_id"":""poppler-line:3b353818346a2bcf21f1"",""observed_text_sha256"":""938eab6b7a072f3f111c2aeb3e49390e42f013b164e3e44ba50bf599c9055065"",""pdf_page"":220,""printed_page"":""193""}]",portrait,"[220,220]","[""193"",""193""]",722.5.1(2),"[""poppler-line:ea300064514012187839""]",figure,[],[],provisional,722.3.2,fire-resistance assembly,unreviewed
