appendix,bbox,broad_classification,chapter,confidence,geometry,id,inferred_relationships,printed_page,raw_evidence_links,reason_for_inclusion,record_type,review_state,source_page,strict_classification,surrounding_section
,"[42.727,314.33,545.543,475.175]",True,7,0.78,"{""line_fragment_count"":48,""repeated_x_columns"":5,""row_count"":13}",ibc2018:incidental-layout:f00fac0b905261c9bc676156,aligned_rows_and_columns,186,"[""poppler-line:40b415ea87afa3832d59"",""poppler-line:a8e22efa51bb2cbd2eba"",""poppler-line:71804f2452340c874f28"",""poppler-line:a82867ddba022f0be03e"",""poppler-line:67aef3b5b2932acfafd3"",""poppler-line:51d350f123114af5eb34"",""poppler-line:2dc4fd13b64945cebb29"",""poppler-line:787fd4485c4959dbff02"",""poppler-line:39a27d39654f603a1653"",""poppler-line:99c44fc4597ff4bbed39"",""poppler-line:c5ae6721bc1dc974b98a"",""poppler-line:f8432dafdf6000eb19af"",""poppler-line:0e77bd5dc3308c127f58"",""poppler-line:872af8b7f14e7ecda15f"",""poppler-line:0d4e45e63f51d67cb5c2"",""poppler-line:282ebc392559263a2ddd"",""poppler-line:8691a999329ab4613dba"",""poppler-line:e0f3393906b197a93bac"",""poppler-line:6b02638f24b69c1b4c1a"",""poppler-line:318d00656bee06e4c3f1"",""poppler-line:dd6f517bbc3a4305ea09"",""poppler-line:76b60b699bc669f77d24"",""poppler-line:718a3d940c4daa7be531"",""poppler-line:a7acfdfbc5d6e8fbc016"",""poppler-line:86db6d9dfd5f083d4a44"",""poppler-line:0706210e8c5cc3eded32"",""poppler-line:716d3405845275ed076e"",""poppler-line:a5dadc1b5062e18c4880"",""poppler-line:196606ec5a3cc1e9309d"",""poppler-line:f9302109a018f8b31dee"",""poppler-line:6fea00379afc926f93d9"",""poppler-line:9e8b3a3bd898427323a4"",""poppler-line:470977834ca8a0a6b7d0"",""poppler-line:b7db432a3834503fe04f"",""poppler-line:e231284d5783dbc6d6eb"",""poppler-line:aff0475a91561d23d66f"",""poppler-line:55c6594a17a83c2c9f3b"",""poppler-line:b6f8f740a8bb9229e3dd"",""poppler-line:d0a0c01509046b49bee7"",""poppler-line:580297678ca32a323a9a"",""poppler-line:2493b31249d7b4c9de01"",""poppler-line:e4cb8cd100b992ae7dc4"",""poppler-line:b8ee6015b38f64417f59"",""poppler-line:558ed33a16e091c488e4"",""poppler-line:bbc715fd6bfa30fbd42a"",""poppler-line:e758e481e9e7cbc9119e"",""poppler-line:37349220d36a7739b084"",""poppler-line:9abfeecb78a3db6e5552""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,213,True,722.2.2.4
,"[42.46,516.248,546.711,564.858]",True,7,0.55,"{""line_fragment_count"":27,""repeated_x_columns"":0,""row_count"":6}",ibc2018:incidental-layout:963ca7a052b23436802cfadb,aligned_rows_and_columns,186,"[""poppler-line:2450286aeb2452937216"",""poppler-line:2589150009d6693b20ff"",""poppler-line:d91f51cbe7fe80274e87"",""poppler-line:f6fd6ff0f43f161cfb70"",""poppler-line:fd3d3c7af399ca20faf1"",""poppler-line:6812416e95ca8842a852"",""poppler-line:4bce0222990987e87dd1"",""poppler-line:53c7cfd180c03104f3b9"",""poppler-line:2a1244d8f1840fa1defc"",""poppler-line:f7cea25196dc15408f94"",""poppler-line:23ccf00e98e9cb13aa45"",""poppler-line:918f7531fbcaff98a8f4"",""poppler-line:2251260d6605f80e62c3"",""poppler-line:b8be354548ac86812829"",""poppler-line:a464ce2b3c7420e93c4b"",""poppler-line:c099293000b7f65a993a"",""poppler-line:4b38f12857d934193be1"",""poppler-line:8c25468f29add965e4ca"",""poppler-line:48175072fa1fa01e1487"",""poppler-line:e5367ecfeb0a5d48761a"",""poppler-line:d8cfedfb821c7cb94e0f"",""poppler-line:f1e515d2a10c9357b21b"",""poppler-line:24cfca7722855d0dfec5"",""poppler-line:eb739e20c9d047c9ae78"",""poppler-line:a31c52322863e383e4c1"",""poppler-line:cb8f4a9cd3a490afd6e1"",""poppler-line:4baa514c94c8a3fdbcfe""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,213,False,722.2.2.4
,"[188.528,166.017,459.481,242.392]",True,7,0.55,"{""line_fragment_count"":18,""repeated_x_columns"":2,""row_count"":6}",ibc2018:incidental-layout:f6eb84547709edbb77d1b5ae,aligned_rows_and_columns,195,"[""poppler-line:283fd169c709352c9357"",""poppler-line:e9ace869fbf170055863"",""poppler-line:04eff1caea3ba924a9ef"",""poppler-line:2741e4db875ae3f633db"",""poppler-line:86bf1472eee96e025835"",""poppler-line:fdcd8cc4231868baf49a"",""poppler-line:bda26194283bbef0e542"",""poppler-line:7700da815a3aa8772248"",""poppler-line:6027d302446604800c44"",""poppler-line:856fbf23e3340c844150"",""poppler-line:d1a3f8d9eaa3b98d1824"",""poppler-line:17fc7b46915d11f39f07"",""poppler-line:9b10bdd1c16314650396"",""poppler-line:547604e6730c97b2a479"",""poppler-line:4cdf156d7dd704be72ca"",""poppler-line:52317f6d02a3a21dee31"",""poppler-line:1905d698d170e4eace74"",""poppler-line:844863f027b2be15abf5""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,222,False,722.5.1.2
,"[56.672,682.268,528.147,739.257]",True,16,0.78,"{""line_fragment_count"":18,""repeated_x_columns"":3,""row_count"":5}",ibc2018:incidental-layout:31dc52a24561195b4a33f935,aligned_rows_and_columns,368,"[""poppler-line:aa7d5cb029ceea99180b"",""poppler-line:0245cf021ae3c26234b5"",""poppler-line:9f0f2338115b510c7bda"",""poppler-line:d80d94a74aaf78dc9e7c"",""poppler-line:2e9652d616887e02539c"",""poppler-line:0b6c6e6bcd45994b39d0"",""poppler-line:87fd941729c7a19ca4e2"",""poppler-line:ce7475a280f71f1540d6"",""poppler-line:7b94ae5013b07c593e69"",""poppler-line:826e9a04bb9a37aef855"",""poppler-line:1eb0b65ff7cf38ba5f36"",""poppler-line:e8592a0a80f2e4cf9ec6"",""poppler-line:ae4868a497ea2208ebe8"",""poppler-line:7bed32a894a1e19c337f"",""poppler-line:2ae4fec01c66de62f3da"",""poppler-line:160e2dace028d43178c3"",""poppler-line:213e2064d6478d379d02"",""poppler-line:519b8062d1aed5a41a8f""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,395,True,1607.5
,"[316.175,411.136,625.916,452.41]",True,16,0.55,"{""line_fragment_count"":11,""repeated_x_columns"":2,""row_count"":3}",ibc2018:incidental-layout:193e4b90ced46435fd1fe3cc,aligned_rows_and_columns,379,"[""poppler-line:049d1f1ffbe24ccfc309"",""poppler-line:d0ca8ca7cb8e62657e7b"",""poppler-line:f77c71d2555e9dd994d2"",""poppler-line:37cab705e1f41430266e"",""poppler-line:bb0b32a03e6fd4086fe9"",""poppler-line:9ba54f560d7bac21252d"",""poppler-line:0fb947c88420683a9c5e"",""poppler-line:ff0ed86655691a3ea794"",""poppler-line:5bdf228a42ef4d2e5d3b"",""poppler-line:fd35e79852ab96f81a80"",""poppler-line:815ce87cd1d86facc2b8""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,406,False,1609.5.2
,"[50.56,141.893,411.907,228.839]",True,23,0.55,"{""line_fragment_count"":21,""repeated_x_columns"":0,""row_count"":6}",ibc2018:incidental-layout:b0d58f4dc563278aca20f18c,aligned_rows_and_columns,522,"[""poppler-line:e96b2cd90a4862e939c4"",""poppler-line:b07deea2f6b2b590e853"",""poppler-line:79f7e2999ea3905f6a00"",""poppler-line:0e36fd39ff08bbf6aa6e"",""poppler-line:9e92a196cd200bd422f8"",""poppler-line:493b141263e2f3e1d17f"",""poppler-line:1946a3da19f2ca1355db"",""poppler-line:174c9f45a5e82b19b70b"",""poppler-line:cb9b463690a5590e4c46"",""poppler-line:5eea0839b330b654c2b4"",""poppler-line:15053abd719ad1b0192b"",""poppler-line:1ac6892876f9877dc582"",""poppler-line:e77861d72360250c79f0"",""poppler-line:00d964d94a2daf5205fe"",""poppler-line:6efccd5eecdf69d44bf0"",""poppler-line:11485bbb1989af78c6e0"",""poppler-line:41461c65f5bab1a1204c"",""poppler-line:67a03cacbe49321dc94b"",""poppler-line:a20a3d55bf38096f17d9"",""poppler-line:31422e97438ef152cffc"",""poppler-line:cd26167be453f0bcaf75""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,549,False,2308.6.5
,"[50.015,315.963,496.175,382.442]",True,23,0.78,"{""line_fragment_count"":37,""repeated_x_columns"":4,""row_count"":7}",ibc2018:incidental-layout:94dc1fe5288bf6ae07ac6b56,aligned_rows_and_columns,522,"[""poppler-line:25b801a7ed6dd63348c5"",""poppler-line:6cc2df626891649f4353"",""poppler-line:6ee55d5602084459a907"",""poppler-line:864ffc36fa8be8b82aa5"",""poppler-line:b25b224c9260ef17a9cd"",""poppler-line:b53c7db55459c602a2ad"",""poppler-line:57574613b3d14d887bd0"",""poppler-line:04688a41624b28d47517"",""poppler-line:3311576ae8043d2b78f8"",""poppler-line:68584cdbdc51208c6e71"",""poppler-line:236f09b77d067e73cbbd"",""poppler-line:0605804ecd27249fa4a0"",""poppler-line:6af2d5dc78703c73bcae"",""poppler-line:9f10c125cc7d62a5aa71"",""poppler-line:670d1136b8538c2d072b"",""poppler-line:7c5b8088e966e76e4588"",""poppler-line:bff88009835d84d86341"",""poppler-line:d99228c6da8b47fad8dc"",""poppler-line:39f65e7b2d53f795db84"",""poppler-line:9ab57520c323bb9be635"",""poppler-line:bea62ad6ac0f83c40898"",""poppler-line:afdeb0640dab390f38d1"",""poppler-line:2b2b5437714706d929e8"",""poppler-line:a09fdf59b5faf6b6e55a"",""poppler-line:ca23cb5f16598065c8ea"",""poppler-line:21174499e0c3aeb943af"",""poppler-line:2fdf89eba3eba1f8bd5b"",""poppler-line:e354fca54d7e5db40f22"",""poppler-line:8075d5e27311b66c9879"",""poppler-line:ee395f0d1b226d2355a3"",""poppler-line:8f52c8d110f9130ff51b"",""poppler-line:22f45a4f611376f0f95f"",""poppler-line:179f24c0e518dfc10482"",""poppler-line:88eb1cc5e87d2796f23b"",""poppler-line:c90fc450d82efaff4616"",""poppler-line:110e21adec1f05ef3b22"",""poppler-line:efc7555523a27d49ce07""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,549,True,2308.6.5
,"[167.298,435.501,546.149,497.778]",True,23,0.78,"{""line_fragment_count"":29,""repeated_x_columns"":4,""row_count"":5}",ibc2018:incidental-layout:e4189062a76c53b621a95904,aligned_rows_and_columns,522,"[""poppler-line:97961c9f529306aeab25"",""poppler-line:d08bbf6704119de90c4d"",""poppler-line:a146a2b2d4b613c53f74"",""poppler-line:9593be90a21b957d911b"",""poppler-line:b835d1b2a5b4fa6ffa17"",""poppler-line:599fa9110338d9e18309"",""poppler-line:f35f55e2cfaf1970bc61"",""poppler-line:9cd0c9795fe2c35c563b"",""poppler-line:67f87236bc3fd5b9ad24"",""poppler-line:d580c51e98ac60511262"",""poppler-line:047ab4ed83973da90795"",""poppler-line:ac32c585c91c1a6729b0"",""poppler-line:3c4655e51f046a5a2855"",""poppler-line:1ecbfa360a2b952d96ba"",""poppler-line:86f70e567aa424504661"",""poppler-line:bec1dc302e338c0159ef"",""poppler-line:67ac0b11a05ea75571b5"",""poppler-line:38b541b90c0c9939aa83"",""poppler-line:206543c78cadc6cd9c82"",""poppler-line:d92e617ec62554808f39"",""poppler-line:d0477637d3582c120f7a"",""poppler-line:b8b6c0f817c9c1a10228"",""poppler-line:a25165890aa7e0edf840"",""poppler-line:47c5a4854dd26401e42a"",""poppler-line:9fa195d19fa43771ab52"",""poppler-line:426b701d45bf7793b792"",""poppler-line:b5fcf04ef473140f4c1d"",""poppler-line:10f4abb87d5ed120e493"",""poppler-line:dc9599abc55e3d4a802c""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,549,True,2308.6.1
,"[52.523,611.922,533.461,659.078]",True,23,0.55,"{""line_fragment_count"":31,""repeated_x_columns"":1,""row_count"":6}",ibc2018:incidental-layout:3e3c23fc299191cd82046e77,aligned_rows_and_columns,522,"[""poppler-line:8a3744948e4975cff24a"",""poppler-line:5c8f00070634ea0e2111"",""poppler-line:4667881061079d2da4a4"",""poppler-line:02897b68504a4ec5789b"",""poppler-line:40ef8bfefdfbf3948e94"",""poppler-line:f319a409072c73441e52"",""poppler-line:16afcfdb1b132eb8b8e6"",""poppler-line:26ff543201abe48b7c37"",""poppler-line:16e1c10b5a0ccaf1731e"",""poppler-line:d6f3730c5e0067b528b3"",""poppler-line:6d67bd22aca2177a2411"",""poppler-line:87438f53e1a2f54ae620"",""poppler-line:322a0389b852ce2162c7"",""poppler-line:353472d209ac48001f59"",""poppler-line:16cc0bbcb4bf2fccc10c"",""poppler-line:76ac03f8d6a07b6e342a"",""poppler-line:ed9e85b64c36c749dd0f"",""poppler-line:f07a0bd422a9ea44bcf7"",""poppler-line:3f069d6d31f2dad553c5"",""poppler-line:d79796d90b94b396d64f"",""poppler-line:ef46c5ec0d0456bbf139"",""poppler-line:ee4f47a0a694287838ec"",""poppler-line:9f29c569c7765924bbd4"",""poppler-line:fc759389749e80eb9cd0"",""poppler-line:591709b4ba18fcf03df3"",""poppler-line:1b58f45fd599fe53603c"",""poppler-line:a64c0654cbe99d5301b6"",""poppler-line:f678e7518248607c6c99"",""poppler-line:3ea28ca45b2c7f61ce19"",""poppler-line:e12f1aa2ce977c3d0ecc"",""poppler-line:7580e23e7d06c3252e47""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,549,False,2308.6.5
,"[40.1,258.53,551.55,332.553]",True,24,0.55,"{""line_fragment_count"":12,""repeated_x_columns"":2,""row_count"":4}",ibc2018:incidental-layout:4112cb042bb38fea486673f8,aligned_rows_and_columns,556,"[""poppler-line:06b5dadb3f896d8a802d"",""poppler-line:60bdaa3af675062ebc04"",""poppler-line:eba9e2d6fc14104b92d6"",""poppler-line:21b0c018fe89f9e0afef"",""poppler-line:4b6457bdf4e5991fcd47"",""poppler-line:d21557b5758b2a81eff9"",""poppler-line:a7757c8ea86e7f31d1af"",""poppler-line:7387debcbaf126ded186"",""poppler-line:a9baf84e3db1df6bc09e"",""poppler-line:66a32b105f4b9fb99192"",""poppler-line:b468c92de7412676b411"",""poppler-line:1fbb768f7799e4a988d3""]",three_or_more aligned multi-fragment rows without a formal caption,incidental_layout,provisional,583,False,2404.2
