priority_band,evidence_category,recommended_action,reason,record_id,record_type,review_state
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:135099d240ba123b1f580215,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:15659beb2180df78ab789daf,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:17f2750c2e3e663c25c83a0b,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:181fa92965b3fe89225e1233,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:25e6ba5b9977e9f4c5c5d5b4,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:34e8d333d98f01d11fd91ecb,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:49d1615aa54067af79ad9ca1,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:621748dd7d004012b6ac7735,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:64481c25e2927aea636ff856,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:64a1cde9c24b87933f6f4578,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:70612589d70705e1c588afe8,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:77c58912c771466038a8e35d,semantic_pilot_record,provisional
P0,semantic_interpretation,perform domain review and record explicit reviewer sign-off,semantic_interpretation_unverified,ibc2018:semantic-pilot:808f12ffa39124a54a840bf3,semantic_pilot_record,provisional
