chapter,confidence,evidence,id,interpretation,record_type,review_state,reviewer_notes,source_record_id,source_record_type,structural_verification
3,0.45,"[""ibc2018:table:da87a6998e3f2df190330c8e""]",ibc2018:semantic-pilot:17f2750c2e3e663c25c83a0b,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""occupancy classification""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:da87a6998e3f2df190330c8e,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""hierarchical_or_merged_headers"",""internal_cross_reference"",""multi_page_continuation"",""table_to_prose_applicability_anchor""],""qualifications"":[""The representative source geometry exercises a multi-level header candidate; semantic row-span and column-span meaning remains unreviewed.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
3,0.45,"[""ibc2018:table:4b188f37cd32cf24f9af3c40""]",ibc2018:semantic-pilot:c4da7065374d49bb8fea1acc,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""occupancy classification""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:4b188f37cd32cf24f9af3c40,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
5,0.45,"[""ibc2018:table:8a473433a686e2e607b21ed9""]",ibc2018:semantic-pilot:be93b7c24f477cd6e8459519,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""occupancy classification""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:8a473433a686e2e607b21ed9,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
5,0.45,"[""ibc2018:equation:eae0f59cf397d3475926b761""]",ibc2018:semantic-pilot:808f12ffa39124a54a840bf3,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""displayed_equation_or_formula_block""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:equation:eae0f59cf397d3475926b761,equation,"{""features"":[""displayed_formula"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
5,0.45,"[""ibc2018:table:7e27917edac86ef7fec3765a""]",ibc2018:semantic-pilot:98908e653d59216d6b6f1a43,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""occupancy classification""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:7e27917edac86ef7fec3765a,table,"{""features"":[""chapter_specific_terminology"",""footnotes_or_notes"",""internal_cross_reference"",""multi_page_continuation"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
6,0.45,"[""ibc2018:table:7b570c5098ab0ff7f8524ad6""]",ibc2018:semantic-pilot:96437516df0a42259039ef7b,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""construction type""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:7b570c5098ab0ff7f8524ad6,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
6,0.45,"[""ibc2018:table:efca890923bc8c64a8c54391""]",ibc2018:semantic-pilot:ce0c8b505a7cf72649372d65,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""occupancy classification""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:efca890923bc8c64a8c54391,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
7,0.45,"[""ibc2018:table:bcd121751db7b01b660b4764""]",ibc2018:semantic-pilot:64481c25e2927aea636ff856,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""unknown""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:bcd121751db7b01b660b4764,table,"{""features"":[""dimensional_units"",""footnotes_or_notes"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
7,0.45,"[""ibc2018:figure:a2c29032fec38df11776dac5""]",ibc2018:semantic-pilot:621748dd7d004012b6ac7735,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""fire-resistance assembly""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:figure:a2c29032fec38df11776dac5,figure,"{""features"":[""chapter_specific_terminology"",""figure_to_prose_relationship"",""footnotes_or_notes"",""nearby_exception_relationship""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
7,0.45,"[""ibc2018:equation:a392e8d2c8b9b6b1ac6dc227""]",ibc2018:semantic-pilot:e99c8448b9da4dd55f632fae,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""displayed_equation_or_formula_block""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:equation:a392e8d2c8b9b6b1ac6dc227,equation,"{""features"":[""displayed_formula"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
10,0.45,"[""ibc2018:table:f4fbd8f1470822341a2e3156""]",ibc2018:semantic-pilot:8c7bd2e7fd05ea455a5c34b0,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""unknown""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:f4fbd8f1470822341a2e3156,table,"{""features"":[""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
10,0.45,"[""ibc2018:equation:e97cfe4e7e5af93725572dfc""]",ibc2018:semantic-pilot:64a1cde9c24b87933f6f4578,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""displayed_equation_or_formula_block""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:equation:e97cfe4e7e5af93725572dfc,equation,"{""features"":[""displayed_formula""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
10,0.45,"[""ibc2018:table:0e416faf0a4bc38a62acb6c7""]",ibc2018:semantic-pilot:181fa92965b3fe89225e1233,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""occupancy classification""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:0e416faf0a4bc38a62acb6c7,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
11,0.45,"[""ibc2018:table:8f2416a63c057609565383dd""]",ibc2018:semantic-pilot:a91504c632b2673648711e32,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""accessibility dimension""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:8f2416a63c057609565383dd,table,"{""features"":[""chapter_specific_terminology"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
11,0.45,"[""ibc2018:table:76240e18249079b04b45b209""]",ibc2018:semantic-pilot:135099d240ba123b1f580215,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""accessibility dimension""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:76240e18249079b04b45b209,table,"{""features"":[""chapter_specific_terminology"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
