record_id,chapter,source_record_id,source_record_type,features,qualifications,source_anchor_verified,record_shape_verified,semantic_interpretation_verified,review_state,reviewer_action
ibc2018:semantic-pilot:49d1615aa54067af79ad9ca1,1,ibc2018:exception:518233bb368e7beafd08d435,exception_block,"[""chapter_specific_terminology"",""nearby_exception_relationship""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:181fa92965b3fe89225e1233,10,ibc2018:table:0e416faf0a4bc38a62acb6c7,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:64a1cde9c24b87933f6f4578,10,ibc2018:equation:e97cfe4e7e5af93725572dfc,equation,"[""displayed_formula""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:8c7bd2e7fd05ea455a5c34b0,10,ibc2018:table:f4fbd8f1470822341a2e3156,table,"[""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:135099d240ba123b1f580215,11,ibc2018:table:76240e18249079b04b45b209,table,"[""chapter_specific_terminology"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:77c58912c771466038a8e35d,11,ibc2018:table:e7ffc91afeaaa1f1cb3713a3,table,"[""chapter_specific_terminology"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:a91504c632b2673648711e32,11,ibc2018:table:8f2416a63c057609565383dd,table,"[""chapter_specific_terminology"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:70612589d70705e1c588afe8,16,ibc2018:figure:8b41ef10657d1bf2de9df53b,figure,"[""chapter_specific_terminology"",""figure_to_prose_relationship""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:96a3d67780e0fa435578d80e,16,ibc2018:equation:db2c3550b796cd8bdd98a1db,equation,"[""displayed_formula""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:e76240c14299737b1f8c4ab6,16,ibc2018:table:20eab036d56817269521a2ac,table,"[""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
