appendix,candidate_source,caption,chapter,classification_reason,disposition,geometry,id,interpretation_confidence,published_identifier,record_type,review_state,semantic_category,source_anchor
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":7,""fill_count"":5,""geometry_fingerprint"":""eb09d23c17707bf6ee836da2cd7a7df074efbd32a4cde26c1efb7f1fc2a7b3da"",""line_count"":14,""rect_count"":4,""stroke_count"":2}",ibc2018:vector-region:4de811ee1f4589616ad3dc8a,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[18.0,18.0,576.0,320.2],""chapter"":null,""line_id"":null,""observed_text_sha256"":""b784e09ac0113bb18805103270fabe33e1a37a5fd6b6fa09f212f6b6f744cce3"",""pdf_page"":2,""printed_page"":null}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":36,""drawing_count"":7,""fill_count"":7,""geometry_fingerprint"":""d50e44bd10172afa4b2b77406136cc3e33c96e873568ec30e5217f3dc05e7c89"",""line_count"":40,""rect_count"":2,""stroke_count"":0}",ibc2018:vector-region:0d5c522d81a53efdb228c5d7,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[18.0,360.25,603.0,774.0],""chapter"":null,""line_id"":null,""observed_text_sha256"":""a7067f481dfae8dc1d6d3b58211eb2608ea60a38bf24dcebd0f4e6dd3e079c70"",""pdf_page"":2,""printed_page"":null}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":17,""fill_count"":17,""geometry_fingerprint"":""7e972382e93fe3e56bddc6b0cf4bb089287f496b7ce640fca09fe74d104673fc"",""line_count"":0,""rect_count"":17,""stroke_count"":0}",ibc2018:vector-region:cbc9071c48dcceab2a70b42a,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[148.15,79.3,552.55,448.75],""chapter"":null,""line_id"":null,""observed_text_sha256"":""c0f97195ed3f09bfcd97f1d287dbfdf20fba670281c92324de6a92752ca1197e"",""pdf_page"":7,""printed_page"":""vi""}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":22,""fill_count"":22,""geometry_fingerprint"":""dde9b2ce5084de1f8b29960521ffe1e7bde6998330d08eed98067b1cb43134fd"",""line_count"":0,""rect_count"":22,""stroke_count"":0}",ibc2018:vector-region:264f57cbedb5e50135166112,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[165.95,192.7,572.25,444.2],""chapter"":null,""line_id"":null,""observed_text_sha256"":""94cab9d6ea00e9fb0467d6b3c206464a10b3de7e3397763950034aec1db0fd2d"",""pdf_page"":8,""printed_page"":""vii""}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":18,""fill_count"":18,""geometry_fingerprint"":""d51e7b11a0e094344d135f336360ffb6fecdee552b39e3a67a7a282f1dcd6321"",""line_count"":0,""rect_count"":18,""stroke_count"":0}",ibc2018:vector-region:baa1b8f66cf60ef9a975835c,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[167.95,473.75,572.25,707.25],""chapter"":null,""line_id"":null,""observed_text_sha256"":""504af8734599c4213632ee91b56724e6641ae88f800732f6c6a7f282614907c1"",""pdf_page"":10,""printed_page"":""ix""}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":8,""fill_count"":8,""geometry_fingerprint"":""789296281e2d268b3eade9971d9ef42f00828404515727c498f459ce14e98df7"",""line_count"":0,""rect_count"":8,""stroke_count"":0}",ibc2018:vector-region:2ee720106bfc8f16a5b83146,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[147.55,346.3,552.2,404.75],""chapter"":null,""line_id"":null,""observed_text_sha256"":""b17ac3d96f059534ec5b947ac131919aa783e46bb6d02a7b7ec2a4bbac3bb2c3"",""pdf_page"":11,""printed_page"":""x""}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":13,""fill_count"":13,""geometry_fingerprint"":""7a2764214574665683941ce350635d7e52c0f6fe22426307880fa9cc85b90625"",""line_count"":0,""rect_count"":13,""stroke_count"":0}",ibc2018:vector-region:7a3176d7e277d4d7ae9643ae,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[147.7,127.65,552.2,286.15],""chapter"":null,""line_id"":null,""observed_text_sha256"":""4192106ffedbf2388bb32505eb03452180a4ae6202b8f1b70513427db1f9b622"",""pdf_page"":11,""printed_page"":""x""}"
,pdf_vector_paths,,,region falls outside the chapter and appendix page range,rejected_outside_normative_and_appendix_pages,"{""curve_count"":0,""drawing_count"":7,""fill_count"":7,""geometry_fingerprint"":""d114ae23698160075c8aef2b3faab3bbeccbf530190d433c968e7e685b9aa661"",""line_count"":0,""rect_count"":7,""stroke_count"":0}",ibc2018:vector-region:258bc6d5730117e454ffc6ea,0.0,,vector_graphic_region_detection,rejected,unknown,"{""appendix"":null,""bbox"":[148.15,444.8,552.2,487.3],""chapter"":null,""line_id"":null,""observed_text_sha256"":""72b27cb14da81da24d9ac4d54524761169a8ea8c14a51bda2c15814c35a67164"",""pdf_page"":11,""printed_page"":""x""}"
,pdf_vector_paths,,1,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""31a36021e859068d2242e876a1a86ae4d784e9cc368579db03109a3c5ba5f30c"",""line_count"":4,""rect_count"":0,""stroke_count"":0}",ibc2018:vector-region:367f187ed186f97907ab4e7e,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.95,142.9,591.55,144.45],""chapter"":""1"",""line_id"":null,""observed_text_sha256"":""be3da8e04be072cc81c589ad4a4e6d06c4304593582838c62d38395a3910846b"",""pdf_page"":28,""printed_page"":""1""}"
,pdf_vector_paths,,1,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":2,""fill_count"":2,""geometry_fingerprint"":""685c0343e83713e0d6c60c36522f1e50b00285847fb05f17440a9ae806df4392"",""line_count"":0,""rect_count"":2,""stroke_count"":0}",ibc2018:vector-region:2ca8cb1815c4cfa8184bdf17,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.95,277.65,571.9,281.6],""chapter"":""1"",""line_id"":null,""observed_text_sha256"":""0ce63ed0aea2daeede18ce5aa283dde472643d0ad3b14a33d0bc4fc11d5503e2"",""pdf_page"":28,""printed_page"":""1""}"
